exercise_name,link,url,file
Bench Press - Close Grip (Barbell),https://www.lyfta.app/exercise/bench-press-7,https://www.lyfta.app//video/GymvisualMP4/00251201.mp4,00251201.mp4
Bench Press (Dumbbell),https://www.lyfta.app/exercise/dumbbell-bench-press-84,https://www.lyfta.app//video/GymvisualMP4/02891201.mp4,02891201.mp4
Chest Fly (Dumbbell),https://www.lyfta.app/exercise/fly-8t,https://www.lyfta.app//video/GymvisualMP4/03081201.mp4,03081201.mp4
Incline Bench Press (Barbell),https://www.lyfta.app/exercise/incline-bench-press-p,https://www.lyfta.app//video/GymvisualMP4/00471201.mp4,00471201.mp4
Incline Bench Press (Dumbbell),https://www.lyfta.app/exercise/incline-bench-press-8x,https://www.lyfta.app//video/GymvisualMP4/03141201.mp4,03141201.mp4
Incline Chest Fly (Dumbbell),https://www.lyfta.app/exercise/incline-fly-8y,https://www.lyfta.app//video/GymvisualMP4/03191201.mp4,03191201.mp4
Seated Overhead Press (Barbell),https://www.lyfta.app/exercise/barbell-seated-overhead-press-61z,https://www.lyfta.app//video/GymvisualMP4/00911201.mp4,00911201.mp4
Seated Overhead Press (Dumbbell),https://www.lyfta.app/exercise/dumbbell-seated-shoulder-press--7tq,https://www.lyfta.app//video/GymvisualMP4/22371201.mp4,22371201.mp4
Arnold Press (Dumbbell),https://www.lyfta.app/exercise/dumbbell-arnold-press-7rl,https://www.lyfta.app//video/GymvisualMP4/21371201.mp4,21371201.mp4
Neck Shoulder Press,https://www.lyfta.app/exercise/standing-behind-neck-press-6v2,https://www.lyfta.app//video/GymvisualMP4/07881201.mp4,07881201.mp4
Front Raise (Dumbbell),https://www.lyfta.app/exercise/front-raise-8u,https://www.lyfta.app//video/GymvisualMP4/03101201.mp4,03101201.mp4
Lateral Raise (Dumbbell),https://www.lyfta.app/exercise/lateral-raise-96,https://www.lyfta.app//video/GymvisualMP4/03341201.mp4,03341201.mp4
Bent Over Raise,https://www.lyfta.app/exercise/rear-lateral-raise-9o,https://www.lyfta.app//video/GymvisualMP4/03801201.mp4,03801201.mp4
Shrug (Barbell),https://www.lyfta.app/exercise/barbell-shrug-61d,https://www.lyfta.app//video/GymvisualMP4/00951201.mp4,00951201.mp4
Bicep Curl (Barbell),https://www.lyfta.app/exercise/ez-barbell-curl-6lv,https://www.lyfta.app//video/GymvisualMP4/04471201.mp4,04471201.mp4
Bicep Curl Dumbbell Double Arm,https://www.lyfta.app/exercise/dumbbell-biceps-curl-6hm,https://www.lyfta.app//video/GymvisualMP4/02941201.mp4,02941201.mp4
Bicep Curl (Dumbbell),https://www.lyfta.app/en/exercise/dumbbell-alternate-biceps-curl-6h3,https://www.lyfta.app//video/GymvisualMP4/02851201.mp4,02851201.mp4
Hammer Curl (Dumbbell),https://www.lyfta.app/exercise/hammer-curl-8w,https://www.lyfta.app//video/GymvisualMP4/03131201.mp4,03131201.mp4
Bicep Curl Dumbbell Double Arm Seated,https://www.lyfta.app/en/exercise/dumbbell-seated-curl-6k1,https://www.lyfta.app//video/GymvisualMP4/03911201.mp4,03911201.mp4
Bicep Curl Dumbbell Single Arm Seated,https://www.lyfta.app/en/exercise/alternate-biceps-curl-3j,https://www.lyfta.app//video/GymvisualMP4/11961201.mp4,11961201.mp4
Hammer Curl Seated,https://www.lyfta.app/en/exercise/dumbbell-alternate-seated-hammer-curl-7f9,https://www.lyfta.app//video/GymvisualMP4/16481201.mp4,16481201.mp4
