Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2023-12-19 16:19:10,"Chest",1h 42m,"Bench Press - Close Grip (Barbell)",1,57.2,10,0,0,"","",
2023-12-19 16:19:10,"Chest",1h 42m,"Bench Press - Close Grip (Barbell)",2,57.2,10,0,0,,,
2023-12-19 16:19:10,"Chest",1h 42m,"Bench Press - Close Grip (Barbell)",3,57.2,8,0,0,,,
2023-12-19 16:19:10,"Chest",1h 42m,"Bench Press (Dumbbell)",1,30.0,10,0,0,"",,
2023-12-19 16:19:10,"Chest",1h 42m,"Bench Press (Dumbbell)",2,30.0,10,0,0,,,
2023-12-19 16:19:10,"Chest",1h 42m,"Bench Press (Dumbbell)",3,30.0,8,0,0,,,
2023-12-19 16:19:10,"Chest",1h 42m,"Chest Fly (Dumbbell)",1,30.0,8,0,0,"",,
2023-12-19 16:19:10,"Chest",1h 42m,"Chest Fly (Dumbbell)",2,30.0,8,0,0,,,
2023-12-19 16:19:10,"Chest",1h 42m,"Chest Fly (Dumbbell)",3,30.0,8,0,0,,,
2023-12-19 16:19:10,"Chest",1h 42m,"Incline Bench Press (Barbell)",1,57.2,8,0,0,"",,
2023-12-19 16:19:10,"Chest",1h 42m,"Incline Bench Press (Barbell)",2,57.2,8,0,0,,,
2023-12-19 16:19:10,"Chest",1h 42m,"Incline Bench Press (Barbell)",3,57.2,8,0,0,,,
2023-12-19 16:19:10,"Chest",1h 42m,"Incline Bench Press (Dumbbell)",1,30.0,10,0,0,"",,
2023-12-19 16:19:10,"Chest",1h 42m,"Incline Bench Press (Dumbbell)",2,30.0,10,0,0,,,
2023-12-19 16:19:10,"Chest",1h 42m,"Incline Bench Press (Dumbbell)",3,30.0,10,0,0,,,
2023-12-19 16:19:10,"Chest",1h 42m,"Incline Chest Fly (Dumbbell)",1,30.0,10,0,0,"",,
2023-12-19 16:19:10,"Chest",1h 42m,"Incline Chest Fly (Dumbbell)",2,30.0,8,0,0,,,
2023-12-19 16:19:10,"Chest",1h 42m,"Incline Chest Fly (Dumbbell)",3,30.0,8,0,0,,,
2023-12-19 18:40:28,"Shoulder",1h 24m,"Seated Overhead Press (Barbell)",1,57.2,8,0,0,"","",
2023-12-19 18:40:28,"Shoulder",1h 24m,"Seated Overhead Press (Barbell)",2,57.2,6,0,0,,,
2023-12-19 18:40:28,"Shoulder",1h 24m,"Seated Overhead Press (Barbell)",3,43.6,8,0,0,,,
2023-12-19 18:40:28,"Shoulder",1h 24m,"Seated Overhead Press (Dumbbell)",1,20.0,10,0,0,"",,
2023-12-19 18:40:28,"Shoulder",1h 24m,"Seated Overhead Press (Dumbbell)",2,20.0,8,0,0,,,
2023-12-19 18:40:28,"Shoulder",1h 24m,"Seated Overhead Press (Dumbbell)",3,35.2,5,0,0,,,
2023-12-19 18:40:28,"Shoulder",1h 24m,"Arnold Press (Dumbbell)",1,35.2,7,0,0,"",,
