exercise_name,link
Bench Press - Close Grip (Barbell),https://www.lyfta.app/exercise/bench-press-7
Bench Press (Dumbbell),https://www.lyfta.app/exercise/dumbbell-bench-press-84
Chest Fly (Dumbbell),https://www.lyfta.app/exercise/fly-8t
Incline Bench Press (Barbell),https://www.lyfta.app/exercise/incline-bench-press-p
Incline Bench Press (Dumbbell),https://www.lyfta.app/exercise/incline-bench-press-8x
Incline Chest Fly (Dumbbell),https://www.lyfta.app/exercise/incline-fly-8y
Seated Overhead Press (Barbell),https://www.lyfta.app/exercise/barbell-seated-overhead-press-61z
Seated Overhead Press (Dumbbell),https://www.lyfta.app/exercise/dumbbell-seated-shoulder-press--7tq
Arnold Press (Dumbbell),https://www.lyfta.app/exercise/dumbbell-arnold-press-7rl
Neck Shoulder Press,https://www.lyfta.app/exercise/standing-behind-neck-press-6v2
Front Raise (Dumbbell),https://www.lyfta.app/exercise/front-raise-8u
Lateral Raise (Dumbbell),https://www.lyfta.app/exercise/lateral-raise-96
Bent Over Raise,https://www.lyfta.app/exercise/rear-lateral-raise-9o
Cross Body Raise,https://www.youtube.com/watch?v=mK2xrdqf_cU&ab_channel=DimitriGiankoulas
Shrug (Barbell),https://www.lyfta.app/exercise/barbell-shrug-61d
Bicep Curl (Barbell),https://www.lyfta.app/exercise/ez-barbell-curl-6lv
Bicep Curl Dumbbell Double Arm,https://www.lyfta.app/exercise/dumbbell-biceps-curl-6hm
Bicep Curl (Dumbbell),https://www.lyfta.app/en/exercise/dumbbell-alternate-biceps-curl-6h3
Hammer Curl (Dumbbell),https://www.lyfta.app/exercise/hammer-curl-8w
Bicep Curl Dumbbell Double Arm Seated,https://www.lyfta.app/en/exercise/dumbbell-seated-curl-6k1
Bicep Curl Dumbbell Single Arm Seated,https://www.lyfta.app/en/exercise/alternate-biceps-curl-3j
Hammer Curl Seated,https://www.lyfta.app/en/exercise/dumbbell-alternate-seated-hammer-curl-7f9
Triceps Extension (Barbell),https://www.lyfta.app/en/exercise/barbell-seated-overhead-triceps-extension-61a
Triceps Extension (Dumbbell),https://www.lyfta.app/exercise/dumbbell-standing-triceps-extension-6l4
Tricep Extension Dumbbell Single Arm,https://www.lyfta.app/en/exercise/standing-one-arm-extension-01
Tricep Extension Dumbbell Seated,https://www.lyfta.app/en/exercise/dumbbell-seated-triceps-extension-7sh
Tricep Extension Dumbbell Single Arm Seated,https://www.lyfta.app/en/exercise/dumbbell-one-arm-triceps-extension-6ji
Skullcrusher (Barbell),https://www.lyfta.app/exercise/barbell-lying-triceps-extension-skull-crusher-60e
Bicep Curl (Cable),https://www.lyfta.app/exercise/cable-curl-6xk
Bicep Curl (Machine),https://www.lyfta.app/en/exercise/lever-preacher-curl-hi
Triceps Pushdown (Cable - Straight Bar),https://www.lyfta.app/exercise/triceps-pushdown-fd
Bench Dumbel Hammer Press,https://www.lyfta.app/exercise/lying-hammer-press-3f
Super Man Raise Bench Reverse,https://www.lyfta.app/exercise/dumbbell-incline-y-raise-8to
Standing Dumbly Ass Fly,https://www.youtube.com/watch?app=desktop&v=Uji9z7W1B6k&ab_channel=JoshuaDavidTaubes
Triceps Dip,https://www.lyfta.app/exercise/lever-seated-dip-ff
Front Raise (Plate),https://www.lyfta.app/exercise/weighted-front-raise-6wm
Front Raise (Barbell),https://www.lyfta.app/exercise/barbell-front-raise-60l
Bicep Curl Cross,https://www.lyfta.app/exercise/cross-body-hammer-curl-8m
Concentration Curl (Dumbbell),https://www.lyfta.app/exercise/concentration-curl-8l
Face Pull (Cable),https://www.lyfta.app/exercise/band-face-pull-6y2
Cable Cross High Reverse Fly,https://www.lyfta.app/exercise/cable-standing-cross-over-high-reverse-fly-6fp
Facepull Upright Row,https://www.lyfta.app/en/exercise/barbell-wide-grip-upright-row-62v
Upright Row (Dumbbell),https://www.lyfta.app/exercise/upright-row-0f
Pull Up (Assisted),https://www.lyfta.app/exercise/pull-up-6rk
Bent Over One Arm Row (Dumbbell),https://www.lyfta.app/exercise/one-arm-bent-over-row-8h
Shrug (Smith Machine),https://www.lyfta.app/exercise/smith-shrug-6ur
Preacher Curl (Machine),https://www.lyfta.app/en/exercise/lever-preacher-curl-hi
Overhead Press (Barbell),https://www.lyfta.app/exercise/barbell-seated-overhead-press-61z
Bench Press (Smith Machine),https://www.lyfta.app/exercise/bench-press-7
Cable Crossover,https://www.lyfta.app/en/exercise/standing-up-straight-crossovers-45
Cable Push Down Rope,https://www.lyfta.app/en/exercise/cable-pushdown-64a
Squat (Barbell),https://www.lyfta.app/en/exercise/barbell-full-squat-60n
Deadlift (Barbell),https://www.lyfta.app/exercise/deadlift-2
Bent Over Row (Barbell),https://www.lyfta.app/en/exercise/bent-over-row-9
Seated Row (Cable),https://www.lyfta.app/exercise/cable-seated-row-6x3
Lat Pulldown (Cable),https://www.lyfta.app/exercise/cable-wide-grip-lat-pulldown--7v7
Shrug (Machine),https://www.lyfta.app/exercise/smith-shrug-6ur
Hammer Curl (Cable),https://www.lyfta.app/exercise/cable-hammer-curl--63b
Incline Bench Press (Smith Machine),https://www.lyfta.app/exercise/incline-bench-press-p
Leg Extension (Machine),https://lyfta.app/exercise/lever-leg-extension-0b
Seated Calf Raise (Machine),https://www.lyfta.app/exercise/lever-seated-calf-raise--85l
Crunch (Machine),https://www.lyfta.app/exercise/lever-total-abdominal-crunch-7kh
